"","Date","USD Sell"
"2",2018-11-19,"0.0000"
"4",2018-11-16,"126.7225"
"6",2018-11-15,"126.5784"
"8",2018-11-14,"126.8545"
"10",2018-11-13,"126.7740"
"12",2018-11-12,"126.9938"
"14",2018-11-09,"127.1482"
"16",2018-11-08,"127.4194"
"18",2018-11-07,"127.4989"
"20",2018-11-06,"127.6053"
"22",2018-11-05,"127.7171"
"24",2018-11-02,"127.9884"
"26",2018-11-01,"128.1262"
"28",2018-10-31,"128.5949"
"30",2018-10-30,"128.6277"
"32",2018-10-29,"128.9341"
"34",2018-10-26,"129.3151"
"36",2018-10-25,"129.6238"
"38",2018-10-24,"130.2904"
"40",2018-10-23,"130.1544"
"42",2018-10-22,"130.5344"
"44",2018-10-19,"130.8867"
"46",2018-10-18,"131.5423"
"48",2018-10-17,"131.9979"
"50",2018-10-16,"132.1679"
"52",2018-10-12,"132.5498"
"54",2018-10-11,"133.0022"
"56",2018-10-10,"133.5522"
"58",2018-10-09,"133.3446"
"60",2018-10-08,"133.9852"
"62",2018-10-05,"133.8003"
"64",2018-10-04,"134.0180"
"66",2018-10-03,"134.2420"
"68",2018-10-02,"134.4794"
"70",2018-10-01,"134.6878"
"72",2018-09-28,"134.6486"
"74",2018-09-27,"135.0646"
"76",2018-09-26,"135.6474"
"78",2018-09-25,"135.5590"
"80",2018-09-24,"135.9529"
"82",2018-09-21,"136.3175"
"84",2018-09-20,"136.3127"
"86",2018-09-19,"136.5576"
"88",2018-09-18,"136.6236"
"90",2018-09-17,"136.6038"
"92",2018-09-14,"136.7437"
"94",2018-09-13,"136.9892"
"96",2018-09-12,"137.0475"
"98",2018-09-11,"136.9068"
"100",2018-09-10,"137.0640"
"102",2018-09-07,"137.2574"
"104",2018-09-06,"137.3544"
"106",2018-09-05,"137.1448"
"108",2018-09-04,"136.9400"
"110",2018-09-03,"137.0909"
"112",2018-08-31,"137.0137"
"114",2018-08-30,"137.5518"
"116",2018-08-29,"137.3221"
"118",2018-08-28,"137.5527"
"120",2018-08-27,"137.5246"
"122",2018-08-24,"137.9015"
"124",2018-08-23,"137.9635"
"126",2018-08-22,"137.4773"
"128",2018-08-21,"137.4707"
"130",2018-08-20,"137.4537"
"132",2018-08-17,"137.2212"
"134",2018-08-16,"137.3535"
"136",2018-08-15,"137.1991"
"138",2018-08-14,"136.8517"
"140",2018-08-13,"136.5469"
"142",2018-08-10,"136.4364"
"144",2018-08-09,"136.1818"
"146",2018-08-08,"136.1773"
"148",2018-08-07,"135.5896"
"150",2018-08-03,"135.4673"
"152",2018-08-02,"135.5359"
"154",2018-07-31,"135.4433"
"156",2018-07-30,"134.3651"
"158",2018-07-27,"134.8071"
"160",2018-07-26,"134.4943"
"162",2018-07-25,"133.6006"
"164",2018-07-24,"134.0516"
"166",2018-07-23,"133.3858"
"168",2018-07-20,"132.9621"
"170",2018-07-19,"132.4797"
"172",2018-07-18,"132.0726"
"174",2018-07-17,"131.9332"
"176",2018-07-16,"131.6814"
"178",2018-07-13,"131.7337"
"180",2018-07-12,"131.2438"
"182",2018-07-11,"131.2906"
"184",2018-07-10,"130.9589"
"186",2018-07-09,"130.5867"
"188",2018-07-06,"131.0490"
"190",2018-07-05,"130.5684"
"192",2018-07-04,"130.4658"
"194",2018-07-03,"130.0600"
"196",2018-07-02,"130.1601"
"198",2018-06-29,"130.3918"
"200",2018-06-28,"130.0565"
"202",2018-06-27,"131.0074"
"204",2018-06-26,"131.0103"
"206",2018-06-25,"131.2820"
"208",2018-06-22,"131.2132"
"210",2018-06-21,"131.9856"
"212",2018-06-20,"132.1305"
"214",2018-06-19,"132.9864"
"216",2018-06-18,"132.2052"
"218",2018-06-15,"132.5296"
"220",2018-06-14,"132.0635"
"222",2018-06-13,"131.5807"
"224",2018-06-12,"130.2939"
"226",2018-06-11,"130.2206"
"228",2018-06-08,"130.1977"
"230",2018-06-07,"129.6957"
"232",2018-06-06,"129.5270"
"234",2018-06-05,"128.6842"
"236",2018-06-04,"128.0511"
"238",2018-06-01,"128.0003"
"240",2018-05-31,"127.9025"
"242",2018-05-30,"127.8626"
"244",2018-05-29,"127.3519"
"246",2018-05-28,"127.3150"
"248",2018-05-25,"127.0343"
"250",2018-05-24,"126.9764"
"252",2018-05-22,"127.0052"
"254",2018-05-21,"126.6083"
"256",2018-05-18,"126.4215"
"258",2018-05-17,"126.6979"
"260",2018-05-16,"126.5941"
"262",2018-05-15,"126.0257"
"264",2018-05-14,"125.9450"
"266",2018-05-11,"126.0376"
"268",2018-05-10,"125.7876"
"270",2018-05-09,"125.8832"
"272",2018-05-08,"125.5528"
"274",2018-05-07,"125.6088"
"276",2018-05-04,"125.5914"
"278",2018-05-03,"125.4567"
"280",2018-05-02,"125.4152"
"282",2018-05-01,"125.3736"
"284",2018-04-30,"125.3211"
"286",2018-04-27,"125.5311"
"288",2018-04-26,"125.5692"
"290",2018-04-25,"125.7253"
"292",2018-04-24,"125.3566"
"294",2018-04-23,"125.2163"
"296",2018-04-20,"125.1885"
"298",2018-04-19,"125.3738"
"300",2018-04-18,"125.4514"
"302",2018-04-17,"125.0477"
"304",2018-04-16,"125.1261"
"306",2018-04-13,"125.2756"
"308",2018-04-12,"125.2352"
"310",2018-04-11,"125.1982"
"312",2018-04-10,"125.0148"
"314",2018-04-09,"125.3349"
"316",2018-04-06,"125.4028"
"318",2018-04-05,"125.4055"
"320",2018-04-04,"125.5621"
"322",2018-04-03,"125.6086"
"324",2018-03-29,"125.9850"
"326",2018-03-28,"126.0788"
"328",2018-03-27,"126.3332"
"330",2018-03-26,"126.4460"
"332",2018-03-23,"126.8618"
"334",2018-03-22,"127.2015"
"336",2018-03-21,"127.5469"
"338",2018-03-20,"127.4687"
"340",2018-03-19,"127.8601"
"342",2018-03-16,"127.9858"
"344",2018-03-15,"128.4352"
"346",2018-03-14,"128.6701"
"348",2018-03-13,"128.6313"
"350",2018-03-12,"128.7617"
"352",2018-03-09,"128.8121"
"354",2018-03-08,"128.8646"
"356",2018-03-07,"128.7022"
"358",2018-03-06,"128.1834"
"360",2018-03-05,"128.4720"
"362",2018-03-02,"128.3956"
"364",2018-03-01,"127.9856"
"366",2018-02-28,"128.1540"
"368",2018-02-27,"127.9336"
"370",2018-02-26,"127.6773"
"372",2018-02-23,"127.4416"
"374",2018-02-22,"127.1354"
"376",2018-02-21,"127.3343"
"378",2018-02-20,"127.1477"
"380",2018-02-19,"127.1124"
"382",2018-02-16,"127.0223"
"384",2018-02-15,"126.8034"
"386",2018-02-13,"126.7239"
"388",2018-02-12,"126.5519"
"390",2018-02-09,"126.4729"
"392",2018-02-08,"126.2763"
"394",2018-02-07,"125.8901"
"396",2018-02-06,"125.6962"
"398",2018-02-05,"125.7772"
"400",2018-02-02,"125.7539"
"402",2018-02-01,"125.6074"
"404",2018-01-31,"125.3866"
"406",2018-01-30,"125.0680"
"408",2018-01-29,"125.1950"
"410",2018-01-26,"125.1092"
"412",2018-01-25,"125.1019"
"414",2018-01-24,"125.2909"
"416",2018-01-23,"125.0535"
"418",2018-01-22,"124.8966"
"420",2018-01-19,"125.0701"
"422",2018-01-18,"125.0332"
"424",2018-01-17,"124.8006"
"426",2018-01-16,"124.9571"
"428",2018-01-15,"124.8726"
"430",2018-01-12,"124.7681"
"432",2018-01-11,"124.7910"
"434",2018-01-10,"124.7731"
"436",2018-01-09,"124.7621"
"438",2018-01-08,"124.5476"
"440",2018-01-05,"124.7382"
"442",2018-01-04,"124.7252"
"444",2018-01-03,"124.7944"
"446",2018-01-02,"124.7570"
"448",2017-12-29,"125.0004"
"450",2017-12-28,"125.0936"
"452",2017-12-27,"125.1218"
"454",2017-12-22,"125.2224"
"456",2017-12-21,"125.3427"
"458",2017-12-20,"125.5462"
"460",2017-12-19,"125.4701"
"462",2017-12-18,"125.4777"
"464",2017-12-15,"125.4927"
"466",2017-12-14,"125.7101"
"468",2017-12-13,"125.7741"
"470",2017-12-12,"125.7346"
"472",2017-12-11,"125.7018"
"474",2017-12-08,"125.8218"
"476",2017-12-07,"125.8062"
"478",2017-12-06,"125.9062"
"480",2017-12-05,"125.9388"
"482",2017-12-04,"125.7581"
"484",2017-12-01,"125.9839"
"486",2017-11-30,"126.0787"
"488",2017-11-29,"126.2035"
"490",2017-11-28,"126.2950"
"492",2017-11-27,"126.3048"
"494",2017-11-24,"126.3369"
"496",2017-11-23,"126.5411"
"498",2017-11-22,"126.5192"
"500",2017-11-21,"126.5361"
"502",2017-11-20,"126.5766"
"504",2017-11-17,"126.6389"
"506",2017-11-16,"126.6195"
"508",2017-11-15,"126.7419"
"510",2017-11-14,"126.6406"
"512",2017-11-13,"126.6374"
"514",2017-11-10,"126.8325"
"516",2017-11-09,"126.7544"
"518",2017-11-08,"126.9019"
"520",2017-11-07,"126.9149"
"522",2017-11-06,"127.0316"
"524",2017-11-03,"127.1129"
"526",2017-11-02,"127.1984"
"528",2017-11-01,"127.1759"
"530",2017-10-31,"127.2868"
"532",2017-10-30,"127.2140"
"534",2017-10-27,"127.3717"
"536",2017-10-26,"127.4856"
"538",2017-10-25,"127.5322"
"540",2017-10-24,"127.5745"
"542",2017-10-23,"127.6131"
"544",2017-10-20,"127.7761"
"546",2017-10-19,"127.8132"
"548",2017-10-18,"127.8982"
"550",2017-10-17,"127.9658"
"552",2017-10-13,"128.2222"
"554",2017-10-12,"128.4072"
"556",2017-10-11,"128.5785"
"558",2017-10-10,"128.8749"
"560",2017-10-09,"129.0642"
"562",2017-10-06,"129.0860"
"564",2017-10-05,"129.3377"
"566",2017-10-04,"129.4546"
"568",2017-10-03,"129.5713"
"570",2017-10-02,"129.5584"
"572",2017-09-29,"129.9127"
"574",2017-09-28,"129.9901"
"576",2017-09-27,"130.3727"
"578",2017-09-26,"130.4541"
"580",2017-09-25,"130.5164"
"582",2017-09-22,"130.8091"
"584",2017-09-21,"130.9981"
"586",2017-09-20,"131.1804"
"588",2017-09-19,"131.1773"
"590",2017-09-18,"131.0954"
"592",2017-09-15,"131.3092"
"594",2017-09-14,"131.2217"
"596",2017-09-13,"130.5085"
"598",2017-09-12,"130.1379"
"600",2017-09-11,"129.9286"
"602",2017-09-08,"130.1141"
"604",2017-09-07,"129.9578"
"606",2017-09-06,"129.9058"
"608",2017-09-05,"129.4176"
"610",2017-09-04,"129.3208"
"612",2017-09-01,"129.5176"
"614",2017-08-31,"129.6466"
"616",2017-08-30,"129.3299"
"618",2017-08-29,"128.7676"
"620",2017-08-28,"128.6787"
"622",2017-08-25,"128.4141"
"624",2017-08-24,"128.6472"
"626",2017-08-23,"128.7267"
"628",2017-08-22,"128.5422"
"630",2017-08-21,"128.4540"
"632",2017-08-18,"128.5026"
"634",2017-08-17,"128.5051"
"636",2017-08-16,"128.4876"
"638",2017-08-15,"128.3999"
"640",2017-08-14,"128.2310"
"642",2017-08-11,"128.5541"
"644",2017-08-10,"128.4353"
"646",2017-08-09,"128.3552"
"648",2017-08-08,"128.2609"
"650",2017-08-04,"128.2317"
"652",2017-08-03,"128.2665"
"654",2017-08-02,"128.2897"
"656",2017-07-31,"128.2195"
"658",2017-07-28,"128.3871"
"660",2017-07-27,"128.2812"
"662",2017-07-26,"128.2173"
"664",2017-07-25,"128.2892"
"666",2017-07-24,"128.2176"
"668",2017-07-21,"128.4424"
"670",2017-07-20,"128.3263"
"672",2017-07-19,"128.3527"
"674",2017-07-18,"128.1553"
"676",2017-07-17,"128.2231"
"678",2017-07-14,"128.3884"
"680",2017-07-13,"128.3790"
"682",2017-07-12,"128.2973"
"684",2017-07-11,"128.3851"
"686",2017-07-10,"128.3674"
"688",2017-07-07,"128.4290"
"690",2017-07-06,"128.4493"
"692",2017-07-05,"128.4364"
"694",2017-07-04,"128.4588"
"696",2017-07-03,"128.5024"
"698",2017-06-30,"128.6228"
"700",2017-06-29,"128.7328"
"702",2017-06-28,"128.8137"
"704",2017-06-27,"128.8450"
"706",2017-06-26,"128.8898"
"708",2017-06-23,"129.0145"
"710",2017-06-22,"129.1486"
"712",2017-06-21,"129.2051"
"714",2017-06-20,"129.3308"
"716",2017-06-19,"129.3529"
"718",2017-06-16,"129.4088"
"720",2017-06-15,"129.4594"
"722",2017-06-14,"129.5460"
"724",2017-06-13,"129.5383"
"726",2017-06-12,"129.5845"
"728",2017-06-09,"129.6904"
"730",2017-06-08,"129.7313"
"732",2017-06-07,"129.7722"
"734",2017-06-06,"129.8594"
"736",2017-06-05,"129.8858"
"738",2017-06-02,"130.0155"
"740",2017-06-01,"130.0734"
"742",2017-05-31,"130.1443"
"744",2017-05-30,"130.1365"
"746",2017-05-29,"130.2849"
"748",2017-05-26,"130.2501"
"750",2017-05-25,"130.4113"
"752",2017-05-24,"130.4844"
"754",2017-05-22,"130.3154"
"756",2017-05-19,"130.4793"
"758",2017-05-18,"130.4643"
"760",2017-05-17,"130.2980"
"762",2017-05-16,"130.1478"
"764",2017-05-15,"130.0786"
"766",2017-05-12,"130.1364"
"768",2017-05-11,"130.0729"
"770",2017-05-10,"130.0215"
"772",2017-05-09,"129.9077"
"774",2017-05-08,"129.9083"
"776",2017-05-05,"129.7745"
"778",2017-05-04,"129.8497"
"780",2017-05-03,"129.8499"
"782",2017-05-02,"129.7593"
"784",2017-05-01,"129.4583"
"786",2017-04-28,"129.4011"
"788",2017-04-27,"129.2010"
"790",2017-04-26,"128.9970"
"792",2017-04-25,"129.1474"
"794",2017-04-24,"128.9558"
"796",2017-04-21,"128.9045"
"798",2017-04-20,"129.1363"
"800",2017-04-19,"128.9579"
"802",2017-04-18,"128.6511"
"804",2017-04-13,"128.8376"
"806",2017-04-12,"128.7538"
"808",2017-04-11,"128.8148"
"810",2017-04-10,"128.8899"
"812",2017-04-07,"128.9114"
"814",2017-04-06,"128.7213"
"816",2017-04-05,"128.6832"
"818",2017-04-04,"128.5791"
"820",2017-04-03,"128.5641"
"822",2017-03-31,"128.6672"
"824",2017-03-30,"128.5305"
"826",2017-03-29,"128.3881"
"828",2017-03-28,"128.5812"
"830",2017-03-27,"128.3974"
"832",2017-03-24,"128.4195"
"834",2017-03-23,"128.2964"
"836",2017-03-22,"128.3529"
"838",2017-03-21,"128.4184"
"840",2017-03-20,"128.4965"
"842",2017-03-17,"128.5261"
"844",2017-03-16,"128.4699"
"846",2017-03-15,"128.3063"
"848",2017-03-14,"128.5060"
"850",2017-03-13,"128.3967"
"852",2017-03-10,"128.5422"
"854",2017-03-09,"128.4731"
"856",2017-03-08,"128.2326"
"858",2017-03-07,"128.2805"
"860",2017-03-06,"128.2370"
"862",2017-03-03,"128.2236"
"864",2017-03-02,"128.2189"
"866",2017-02-28,"128.1053"
"868",2017-02-27,"128.1805"
"870",2017-02-24,"128.1050"
"872",2017-02-23,"128.1445"
"874",2017-02-22,"128.0129"
"876",2017-02-21,"128.0369"
"878",2017-02-20,"128.1064"
"880",2017-02-17,"128.1055"
"882",2017-02-16,"128.1129"
"884",2017-02-15,"127.9847"
"886",2017-02-14,"128.0379"
"888",2017-02-13,"127.9318"
"890",2017-02-10,"128.0227"
"892",2017-02-09,"127.9910"
"894",2017-02-08,"127.9640"
"896",2017-02-07,"128.0811"
"898",2017-02-06,"128.0003"
"900",2017-02-03,"128.1404"
"902",2017-02-02,"128.1032"
"904",2017-02-01,"128.1481"
"906",2017-01-31,"128.2591"
"908",2017-01-30,"128.3457"
"910",2017-01-27,"128.4235"
"912",2017-01-26,"128.5572"
"914",2017-01-25,"128.5949"
"916",2017-01-24,"128.7278"
"918",2017-01-23,"128.7707"
"920",2017-01-20,"128.9064"
"922",2017-01-19,"128.8759"
"924",2017-01-18,"128.6731"
"926",2017-01-17,"128.6224"
"928",2017-01-16,"128.5330"
"930",2017-01-13,"128.5100"
"932",2017-01-12,"128.5378"
"934",2017-01-11,"128.5307"
"936",2017-01-10,"128.4175"
"938",2017-01-09,"128.4360"
"940",2017-01-06,"128.5515"
"942",2017-01-05,"128.5466"
"944",2017-01-04,"128.3363"
"946",2016-12-30,"128.4404"
"948",2016-12-29,"128.3623"
"950",2016-12-28,"128.3414"
"952",2016-12-23,"128.3337"
"954",2016-12-22,"128.3261"
"956",2016-12-21,"128.4964"
"958",2016-12-20,"128.5818"
"960",2016-12-19,"128.6114"
"962",2016-12-16,"128.6940"
"964",2016-12-15,"128.6400"
"966",2016-12-14,"128.6363"
"968",2016-12-13,"128.6953"
"970",2016-12-12,"128.7225"
"972",2016-12-09,"128.7767"
"974",2016-12-08,"128.7915"
"976",2016-12-07,"128.8386"
"978",2016-12-06,"128.9052"
"980",2016-12-05,"128.8875"
"982",2016-12-02,"128.9457"
"984",2016-12-01,"128.9489"
"986",2016-11-30,"129.0391"
"988",2016-11-29,"129.0141"
