"","Date","Gasolene  87","Gasolene 90","Auto Diesel","ULSD"
"1",2009-12-31,69.7069,71.1468,69.8697,NA
"2",2009-12-24,68.2069,69.6468,68.4697,NA
"3",2009-12-17,67.8869,69.3268,67.9797,NA
"4",2009-12-10,69.8869,71.3268,69.9497,NA
"5",2009-12-04,70.3869,71.8268,70.5297,NA
"6",2009-11-26,69.6369,71.0768,69.6097,NA
"7",2009-11-19,68.9369,70.3768,69.8597,NA
"8",2009-11-12,69.0369,70.4768,70.2097,NA
"9",2009-11-05,69.1369,70.5768,70.2997,NA
"10",2009-10-29,69.6369,73.1097,70.4997,NA
"11",2009-10-22,67.6669,71.1397,68.8297,NA
"12",2009-10-15,65.7169,69.1897,66.9797,NA
"13",2009-10-08,64.8669,68.3397,65.5797,NA
"14",2009-10-01,63.4669,66.9397,64.4797,NA
"15",2009-09-24,64.9669,68.4397,65.4297,NA
"16",2009-09-17,64.4669,67.9397,64.8797,NA
"17",2009-09-10,64.9669,68.4397,64.1797,NA
"18",2009-09-03,65.9169,69.3897,65.3797,NA
"19",2009-08-27,66.5169,69.9897,65.6297,NA
"20",2009-08-20,66.6669,70.1397,64.6797,NA
"21",2009-08-13,67.5169,70.9897,65.3797,NA
"22",2009-08-06,66.2169,69.6897,63.8797,NA
"23",2009-07-30,64.7169,68.1897,63.1497,NA
"24",2009-07-23,63.5169,66.9897,62.0297,NA
"25",2009-07-16,62.5569,66.0297,60.8697,NA
"26",2009-07-09,64.4869,67.9597,62.6597,NA
"27",2009-07-02,65.5069,68.9797,64.6297,NA
"28",2009-06-25,66.6469,70.1197,65.6797,NA
"29",2009-06-18,68.0669,71.5397,66.7797,NA
"30",2009-06-11,66.2169,69.6897,65.2797,NA
"31",2009-06-04,64.7169,68.1897,63.4497,NA
"32",2009-05-28,63.0669,66.5397,61.5997,NA
"33",2009-05-21,61.7669,65.2397,60.0997,NA
"34",2009-05-14,59.7869,63.2597,60.6097,NA
"35",2009-05-07,58.6669,62.1397,59.5597,NA
"36",2009-04-30,57.7169,61.1897,59.0597,NA
"37",2009-04-23,49.4969,52.9697,51.5497,NA
"38",2009-04-16,49.6469,53.1197,51.4897,NA
"39",2009-04-09,49.3669,52.8397,51.9597,NA
"40",2009-04-02,50.1169,53.5897,52.1597,NA
"41",2009-03-26,49.6269,53.0997,51.3897,NA
"42",2009-03-19,47.8769,51.3497,49.3597,NA
"43",2009-03-12,47.7469,51.2197,49.0697,NA
"44",2009-03-05,47.1169,50.5897,50.4197,NA
"45",2009-02-26,45.3669,48.8397,49.6697,NA
"46",2009-02-19,47.8669,51.3397,51.6697,NA
"47",2009-02-12,48.3769,51.8497,53.2097,NA
"48",2009-02-05,47.8769,51.3497,54.2597,NA
"49",2009-01-29,46.2569,49.7302,53.9597,NA
"50",2009-01-22,47.1669,50.6397,54.9597,NA
"51",2009-01-15,46.2169,49.6897,55.4597,NA
"52",2009-01-08,46.7469,50.2197,55.3997,NA
"53",2009-01-01,43.7769,47.2497,52.7397,NA
"54",2010-12-29,88.0328,89.6887,88.6902,NA
"55",2010-12-23,86.3528,88.0087,87.0702,NA
"56",2010-12-16,85.5428,87.1987,86.4902,NA
"57",2010-12-09,85.7928,87.4487,86.5902,NA
"58",2010-12-02,83.8228,85.4785,85.0083,NA
"59",2010-11-25,82.8028,84.4587,83.8802,NA
"60",2010-11-18,83.7828,85.4387,85.0402,NA
"61",2010-11-11,82.6228,84.2787,84.2002,NA
"62",2010-11-04,80.4528,82.1087,81.7302,NA
"63",2010-10-28,78.8728,80.5287,81.7802,NA
"64",2010-10-21,79.2828,80.9387,81.6302,NA
"65",2010-10-14,79.7928,81.4487,81.8602,NA
"66",2010-10-07,78.2228,79.8787,80.8202,NA
"67",2010-09-30,75.7228,77.3787,78.1202,NA
"68",2010-09-23,75.9728,77.6287,77.7202,NA
"69",2010-09-16,76.2228,77.8787,77.3602,NA
"70",2010-09-09,75.7228,77.3787,77.1102,NA
"71",2010-09-02,76.1628,77.8187,77.0102,NA
"72",2010-08-26,75.6628,77.3187,76.6602,NA
