"","Date","Price"
"1",1986-06-02,0.445
"2",1986-06-03,0.418
"3",1986-06-04,0.398
"4",1986-06-05,0.415
"5",1986-06-06,0.403
"6",1986-06-09,0.398
"7",1986-06-10,0.395
"8",1986-06-11,0.42
"9",1986-06-12,0.425
"10",1986-06-13,0.434
"11",1986-06-16,0.419
"12",1986-06-17,0.418
"13",1986-06-18,0.406
"14",1986-06-19,0.408
"15",1986-06-20,0.408
"16",1986-06-23,0.395
"17",1986-06-24,0.393
"18",1986-06-25,0.411
"19",1986-06-26,0.394
"20",1986-06-27,0.4
"21",1986-06-30,0.385
"22",1986-07-01,0.384
"23",1986-07-02,0.369
"24",1986-07-03,0.366
"25",1986-07-07,0.345
"26",1986-07-08,0.349
"27",1986-07-09,0.339
"28",1986-07-10,0.345
"29",1986-07-11,0.331
"30",1986-07-14,0.316
"31",1986-07-15,0.333
"32",1986-07-16,0.343
"33",1986-07-17,0.331
"34",1986-07-18,0.335
"35",1986-07-21,0.339
"36",1986-07-22,0.325
"37",1986-07-23,0.319
"38",1986-07-24,0.319
"39",1986-07-25,0.31
"40",1986-07-28,0.305
"41",1986-07-29,0.316
"42",1986-07-30,0.321
"43",1986-07-31,0.305
"44",1986-08-01,0.311
"45",1986-08-04,0.355
"46",1986-08-05,0.39
"47",1986-08-06,0.396
"48",1986-08-07,0.409
"49",1986-08-08,0.401
"50",1986-08-11,0.404
"51",1986-08-12,0.433
"52",1986-08-13,0.431
"53",1986-08-14,0.43
"54",1986-08-15,0.439
"55",1986-08-18,0.446
"56",1986-08-19,0.426
"57",1986-08-20,0.435
"58",1986-08-21,0.438
"59",1986-08-22,0.439
"60",1986-08-25,0.43
"61",1986-08-26,0.426
"62",1986-08-27,0.426
"63",1986-08-28,0.434
"64",1986-08-29,0.439
"65",1986-09-02,0.444
"66",1986-09-03,0.436
"67",1986-09-04,0.441
"68",1986-09-05,0.444
"69",1986-09-08,0.431
"70",1986-09-09,0.416
"71",1986-09-10,0.4
"72",1986-09-11,0.4
"73",1986-09-12,0.401
"74",1986-09-15,0.385
"75",1986-09-16,0.378
"76",1986-09-17,0.376
"77",1986-09-18,0.379
"78",1986-09-19,0.379
"79",1986-09-22,0.369
"80",1986-09-23,0.376
"81",1986-09-24,0.378
"82",1986-09-25,0.376
"83",1986-09-26,0.381
"84",1986-09-29,0.385
"85",1986-09-30,0.385
"86",1986-10-01,0.401
"87",1986-10-02,0.409
"88",1986-10-03,0.398
"89",1986-10-06,0.395
"90",1986-10-07,0.412
"91",1986-10-08,0.408
"92",1986-10-09,0.404
"93",1986-10-10,0.398
"94",1986-10-14,0.388
"95",1986-10-15,0.4
"96",1986-10-16,0.399
"97",1986-10-17,0.402
"98",1986-10-20,0.411
"99",1986-10-21,0.408
"100",1986-10-22,0.402
"101",1986-10-23,0.399
"102",1986-10-24,0.405
"103",1986-10-27,0.389
"104",1986-10-28,0.394
"105",1986-10-29,0.382
"106",1986-10-30,0.395
"107",1986-10-31,0.406
"108",1986-11-03,0.394
"109",1986-11-04,0.409
"110",1986-11-05,0.406
"111",1986-11-06,0.411
"112",1986-11-07,0.406
"113",1986-11-10,0.409
"114",1986-11-11,0.411
"115",1986-11-12,0.414
"116",1986-11-13,0.419
"117",1986-11-14,0.416
"118",1986-11-17,0.414
"119",1986-11-18,0.413
"120",1986-11-19,0.416
"121",1986-11-20,0.41
"122",1986-11-21,0.411
"123",1986-11-24,0.405
"124",1986-11-25,0.402
"125",1986-11-26,0.407
"126",1986-11-28,0.407
"127",1986-12-01,0.409
"128",1986-12-02,0.408
"129",1986-12-03,0.403
"130",1986-12-04,0.4
"131",1986-12-05,0.4
"132",1986-12-08,0.396
"133",1986-12-09,0.393
"134",1986-12-10,0.396
"135",1986-12-11,0.405
"136",1986-12-12,0.41
"137",1986-12-15,0.414
"138",1986-12-16,0.406
"139",1986-12-17,0.395
"140",1986-12-18,0.407
"141",1986-12-19,0.416
"142",1986-12-22,0.428
"143",1986-12-23,0.422
"144",1986-12-24,0.425
"145",1986-12-29,0.439
"146",1986-12-30,0.455
"147",1986-12-31,0.47
"148",1987-01-02,0.474
"149",1987-01-05,0.466
"150",1987-01-06,0.476
"151",1987-01-07,0.476
"152",1987-01-08,0.487
"153",1987-01-09,0.502
"154",1987-01-12,0.514
"155",1987-01-13,0.5
"156",1987-01-14,0.503
"157",1987-01-15,0.496
"158",1987-01-16,0.489
"159",1987-01-19,0.494
"160",1987-01-20,0.503
"161",1987-01-21,0.491
"162",1987-01-22,0.499
"163",1987-01-23,0.493
"164",1987-01-26,0.487
"165",1987-01-27,0.491
"166",1987-01-28,0.49
"167",1987-01-29,0.501
"168",1987-01-30,0.504
"169",1987-02-02,0.496
"170",1987-02-03,0.495
"171",1987-02-04,0.495
"172",1987-02-05,0.51
"173",1987-02-06,0.508
